trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
38,False,"{'a': 0.95, 'e': 0.14239574134637467}",20,13,11.969483155148117,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
39,False,"{'a': 0.95, 'e': 0.13527595427905592}",20,14,10.770945487413329,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
40,False,"{'a': 0.95, 'e': 0.12851215656510312}",25,6,-4.673798840336252,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 0}",1
41,False,"{'a': 0.95, 'e': 0.12208654873684796}",20,5,25.240800738224408,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
42,False,"{'a': 0.95, 'e': 0.11598222130000556}",20,0,-16.346507611392333,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
43,False,"{'a': 0.95, 'e': 0.11018311023500528}",25,5,24.985537859786273,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",1
44,False,"{'a': 0.95, 'e': 0.10467395472325501}",20,0,2.9444876376985496,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
45,False,"{'a': 0.95, 'e': 0.09944025698709225}",20,10,13.572647764897349,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
46,False,"{'a': 0.95, 'e': 0.09446824413773763}",25,19,11.31832966005379,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.95, 'e': 0.08974483193085075}",20,4,26.523650163515033,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.95, 'e': 0.0852575903343082}",20,2,18.79666906492848,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.95, 'e': 0.0809947108175928}",20,10,13.560031518604719,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
50,False,"{'a': 0.95, 'e': 0.07694497527671315}",25,0,27.167065366358653,"{0: 24, 1: 1, 2: 0, 3: 0, 4: 0}",0
51,False,"{'a': 0.95, 'e': 0.07309772651287749}",25,10,29.633059863274145,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
